query_name,selected_root,test_depth,Rc,n_edges_total,n_edges_absorbed,Re,DeltaR,DeltaRratio
QG10_AdvancedSearchWatchItems,WatchItem,0,4,4,0,4,0,0.0
QG10_AdvancedSearchWatchItems,WatchItem,1,4,4,4,0,4,1.0
QG3_RecommendationByGenreAndSubtype,WatchItem,0,4,4,0,4,0,0.0
QG3_RecommendationByGenreAndSubtype,WatchItem,1,4,4,4,0,4,1.0
QG4_AllPersonsOfTypeForWatchItem,WatchItem,0,2,2,0,2,0,0.0
QG4_AllPersonsOfTypeForWatchItem,WatchItem,1,2,2,1,1,1,0.5
QG4_AllPersonsOfTypeForWatchItem,WatchItem,2,2,2,2,0,2,1.0
QG5_AllPersonsForEpisodesOfSeries,WatchItem,0,4,4,0,4,0,0.0
QG5_AllPersonsForEpisodesOfSeries,WatchItem,1,4,4,3,1,3,0.75
QG5_AllPersonsForEpisodesOfSeries,WatchItem,2,4,4,4,0,4,1.0
QG6_EpisodesOfSeries,Series,0,1,1,0,1,0,0.0
QG6_EpisodesOfSeries,Series,1,1,1,1,0,1,1.0
QG8_AddPersonRoleToWatchItem,WatchItem,0,2,2,0,2,0,0.0
QG8_AddPersonRoleToWatchItem,WatchItem,1,2,2,1,1,1,0.5
QG8_AddPersonRoleToWatchItem,WatchItem,2,2,2,2,0,2,1.0
QG9_TopRatedSeriesByGenre,WatchItem,0,2,2,0,2,0,0.0
QG9_TopRatedSeriesByGenre,WatchItem,1,2,2,2,0,2,1.0
